Tanggal,qty,Jumlah
2018-02-27,8247,53193150
2018-02-28,7830,50503500
2018-03-01,14101,90951450
2018-03-02,1712,11042600
2018-03-03,0,0
2018-03-04,0,0
2018-03-05,15898,102542100
2018-03-06,0,0
2018-03-07,0,0
2018-03-08,7917,51064650
2018-03-09,0,0
2018-03-10,8017,51709650
2018-03-11,0,0
2018-03-12,0,0
2018-03-13,7834,50529300
2018-03-14,7954,51303300
2018-03-15,7868,50748600
2018-03-16,0,0
2018-03-17,7949,51271000
2018-03-18,16,103200
2018-03-19,0,0
2018-03-20,7769,50110050
2018-03-21,7951,51283950
2018-03-22,7951,51283850
2018-03-23,0,0
2018-03-24,8015,51696750
2018-03-25,0,0
2018-03-26,0,0
2018-03-27,15735,101491750
2018-03-28,6221,40125450
2018-03-29,16910,109101750
2018-03-30,13820,89139000
2018-03-31,16089,103774050
2018-04-01,17974,115945200
2018-04-02,17781,114687450
2018-04-03,16922,109791900
2018-04-04,16627,107244156
2018-04-05,17815,114906750
2018-04-06,17127,110469150
2018-04-07,11747,75768150
2018-04-08,11175,72078650
2018-04-09,18545,119615250
2018-04-10,17348,111894600
2018-04-11,15673,101090850
2018-04-12,17792,114758400
2018-04-13,18522,119466900
2018-04-14,16810,108424500
2018-04-15,18198,117377100
2018-04-16,17830,115326000
2018-04-17,15432,99536400
2018-04-18,16730,107909400
2018-04-19,17990,116035500
2018-04-20,16746,108011700
2018-04-21,16313,105219350
2018-04-22,17514,112965300
2018-04-23,17768,114603600
2018-04-24,15013,96833850
2018-04-25,18103,116764350
2018-04-26,18898,121892100
2018-04-27,19377,124981650
2018-04-28,16197,104470650
2018-04-29,18913,121988850
2018-04-30,18890,121840500
2018-05-01,18967,122336350
2018-05-02,20147,129948150
2018-05-03,19950,128677500
2018-05-04,19211,123910950
2018-05-05,19534,125994700
2018-05-06,19154,123543300
2018-05-07,20330,131128500
2018-05-08,19441,125394450
2018-05-09,21232,136946400
2018-05-10,17392,112178400
2018-05-11,11993,77355650
2018-05-12,15842,102180900
2018-05-13,16691,107656950
2018-05-14,20725,133676250
2018-05-15,10236,66022200
2018-05-16,15248,98349600
2018-05-17,14467,93312150
2018-05-18,15391,99272600
2018-05-19,15535,100200750
2018-05-20,16327,105309150
2018-05-21,16431,105979950
2018-05-22,16178,104348100
2018-05-23,17648,113829600
2018-05-24,16625,107231250
2018-05-25,17354,111933300
2018-05-26,16525,106586250
2018-05-27,15294,98646300
2018-05-28,17771,114622951
2018-05-29,16396,105754200
2018-05-30,16937,109243650
2018-05-31,16135,104070750
2018-06-01,17281,111462450
2018-06-02,18133,116957850
2018-06-03,16906,109043700
2018-06-04,12522,80766900
